154	238	2440	SA518626	8067129	SP108012	8067129			
155	238	2441	SA518624	8067125	SP108011	8067125			
156	239	1182	SA518592	8066500	SP108004	8066500		45	41-60%
157	239	2442	SA518594	8066501	SP108005	8066501			
158	240	1183	SA518595	8066503	SP108006	8066503		39	21-40%
159	240	596	SA518596	8066504	SP108008	8066504			
160	373	1185	SA518590	8066497	SP108002	8066497		33	21-40%
161	373	597	SA518591	8066498	SP108003	8066498			
162	430	1186	SA518565	8066464	SP107978	8066464		65	61-80%
163	430	598	SA518566	8066465	SP107979	8066465			
164	431	599	SA518560	8066459	SP107974	8066459			
165	431	1187	SA518558	8066458	SP107973	8066458		20	1-20%
166	626	1188	SA518562	8066461	SP107975	8066461		39	21-40%
167	626	600	SA518564	8066462	SP107976	8066462			
168	627	601	SA518555	8066453	SP107970	8066453			
169	627	1189	SA518554	8066452	SP107969	8066452		61	61-80%
170	432	602	SA518557	8066456	SP107972	8066456			
171	432	1190	SA518556	8066455	SP107971	8066455		16	1-20%
172	711	1191	SA518549	8066446	SP107965	8066446		25	21-40%
173	711	603	SA518550	8066447	SP107966	8066447			
174	712	1192	SA518552	8066449	SP107967	8066449		17	1-20%
175	712	604	SA518553	8066450	SP107968	8066450			
176	713	605	SA518572	8066474	SP107985	8066474			
177	713	1193	SA518571	8066473	SP107984	8066473		31	21-40%
178	628	1194	SA518567	8066467	SP107980	8066467		56	41-60%
179	628	606	SA518568	8066468	SP107981	8066468			
180	714	607	SA518570	8066471	SP107983	8066471			
181	714	1195	SA518569	8066470	SP107982	8066470		47	41-60%
182	715	608	SA518704	8067247	SP107957	8067247			
183	715	609	SA518702	8067245	SP107955	8067245			
184	715	1196	SA518703	8067246	SP107956	8067246		66	61-80%
185	629	1197	SA518696	8067240	SP107950	8067240		18	1-20%
186	629	610	SA518623	8067113	SP107949	8067113			
187	629	611	SA518697	8067241	SP107951	8067241			
188	630	1198	SA518699	8067242	SP107952	8067242		50	41-60%
189	630	612	SA518700	8067243	SP107953	8067243			
190	630	613	SA518701	8067244	SP107954	8067244			
191	631	1199	SA518691	8067235	SP107942	8067235		30	21-40%
192	631	614	SA518692	8067236	SP107943	8067236			
193	631	615	SA518693	8067237	SP107944	8067237			
194	716	1200	SA518622	8067075	SP107945	8067075		54	41-60%
195	716	616	SA518694	8067238	SP107946	8067238			
196	716	617	SA518695	8067239	SP107947	8067239			
197	717	1201	SA518685	8067230	SP107933	8067230		16	1-20%
198	717	618	SA518620	8066981	SP107932	8066981			
199	717	619	SA518686	8067231	SP107935	8067231			
200	718	1202	SA518687	8067232	SP107938	8067232		48	41-60%
201	718	620	SA518672	8067218	SP107936	8067218			
202	718	621	SA518673	8067219	SP107937	8067219			
203	718	622	SA518688	8067233	SP107939	8067233			
204	718	623	SA518689	8067234	SP107941	8067234			
205	632	1203	SA518543	8066440	SP107960	8066440		74	61-80%
206	632	624	SA518544	8066441	SP107961	8066441			
207	719	1204	SA518546	8066443	SP107962	8066443		61	61-80%
208	719	625	SA518548	8066444	SP107964	8066444			
209	633	626	SA518542	8066438	SP107959	8066438			
210	633	1205	SA518541	8066437	SP107958	8066437		33	21-40%
211	720	1206	SA518601	8066553	SP107920	8066553		55	41-60%
212	720	627	SA518603	8066554	SP107922	8066554			
213	720	628	SA518604	8066555	SP107923	8066555			
214	721	629	SA518615	8066866	SP107914	8066866			
215	721	1207	SA518680	8067226	SP107915	8067226		48	41-60%
216	721	630	SA518682	8067227	SP107916	8067227			
217	722	1208	SA518511	8065356	SP107917	8065356		29	21-40%
218	722	631	SA518530	8066040	SP107919	8066040			
219	722	632	SA518512	8065358	SP107918	8065358			
220	634	633	SA518522	8065709	SP107908	8065709			
221	634	634	SA518523	8065710	SP107910	8065710			
222	634	1209	SA518521	8065706	SP107907	8065706		16	1-20%
223	635	635	SA518526	8065720	SP107913	8065720			
224	635	1210	SA518524	8065714	SP107911	8065714		21	21-40%
225	635	636	SA518525	8065719	SP107912	8065719			
226	636	1211	SA518713	8068050	SP107901	8068050		20	1-20%
227	636	2443	SA518733	8068599	SP107904	8068599			
228	636	2444	SA518715	8068052	SP107902	8068052			
229	723	1725	SA518679	8067225	SP107906	8067225			
230	723	1212	SA518678	8067223	SP107905	8067223		15	1-20%
231	724	2445	SA518531	8066041	SP107896	8066041			
